ASSERTION	AAEDAAEBAwAAAAAAAABZQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	simulations.ScenarioAssertions	scenarioassertions	1593957846257	 	3.3.1
REQUEST	12		Get all Emp	1593957874237	1593957874245	OK	 
REQUEST	29		Get all Emp	1593957874235	1593957874247	OK	 
USER	Fixed Duration Load Simulation	46	START	1593957874676	1593957874676
REQUEST	46		Get all Emp	1593957874676	1593957874686	OK	 
REQUEST	30		Get all Emp	1593957874722	1593957874731	OK	 
REQUEST	38		Get Specific Emp	1593957874722	1593957874732	OK	 
REQUEST	30		Get all Emp	1593957874732	1593957874737	OK	 
REQUEST	13		Get all Emp	1593957874736	1593957874739	OK	 
REQUEST	13		Get all Emp	1593957874739	1593957874741	OK	 
REQUEST	21		Get Specific Emp	1593957874736	1593957874743	OK	 
USER	Fixed Duration Load Simulation	47	START	1593957875176	1593957875176
REQUEST	47		Get all Emp	1593957875177	1593957875186	OK	 
REQUEST	39		Get Specific Emp	1593957875195	1593957875204	OK	 
REQUEST	14		Get all Emp	1593957875246	1593957875256	OK	 
REQUEST	14		Get all Emp	1593957875257	1593957875259	OK	 
REQUEST	22		Get Specific Emp	1593957875266	1593957875272	OK	 
USER	Fixed Duration Load Simulation	48	START	1593957875676	1593957875676
REQUEST	48		Get all Emp	1593957875677	1593957875681	OK	 
REQUEST	40		Get Specific Emp	1593957875706	1593957875712	OK	 
REQUEST	31		Get all Emp	1593957875715	1593957875719	OK	 
REQUEST	31		Get all Emp	1593957875720	1593957875723	OK	 
REQUEST	23		Get Specific Emp	1593957875748	1593957875751	OK	 
REQUEST	15		Get all Emp	1593957875755	1593957875765	OK	 
REQUEST	15		Get all Emp	1593957875765	1593957875772	OK	 
USER	Fixed Duration Load Simulation	49	START	1593957876176	1593957876176
REQUEST	49		Get all Emp	1593957876176	1593957876185	OK	 
REQUEST	32		Get all Emp	1593957876225	1593957876228	OK	 
REQUEST	32		Get all Emp	1593957876228	1593957876241	OK	 
REQUEST	24		Get Specific Emp	1593957876236	1593957876248	OK	 
USER	Fixed Duration Load Simulation	50	START	1593957876677	1593957876677
REQUEST	50		Get all Emp	1593957876678	1593957876682	OK	 
REQUEST	41		Get Specific Emp	1593957876706	1593957876710	OK	 
REQUEST	33		Get all Emp	1593957876725	1593957876729	OK	 
REQUEST	33		Get all Emp	1593957876730	1593957876731	OK	 
REQUEST	25		Get Specific Emp	1593957876737	1593957876744	OK	 
REQUEST	16		Get all Emp	1593957876737	1593957876747	OK	 
REQUEST	16		Get all Emp	1593957876747	1593957876757	OK	 
REQUEST	42		Get Specific Emp	1593957877205	1593957877216	OK	 
REQUEST	34		Get all Emp	1593957877216	1593957877221	OK	 
REQUEST	34		Get all Emp	1593957877221	1593957877227	OK	 
REQUEST	17		Get all Emp	1593957877255	1593957877264	OK	 
REQUEST	17		Get all Emp	1593957877265	1593957877274	OK	 
USER	Fixed Duration Load Simulation	51	START	1593957877675	1593957877675
